Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score
12431.0,60,14,5192.11,2,4,4,244,10
12432.0,43,5,5059.32,3,3,4,334,10
12433.0,1,7,12604.51,4,4,4,444,12
12434.0,85,2,806.14,2,2,3,223,7
12435.0,80,2,7120.450000000001,2,2,4,224,8
12436.0,100,1,509.01,2,1,2,212,5
12437.0,2,18,4873.41,4,4,4,444,12
12438.0,14,2,2906.85,4,2,4,424,10
12441.0,367,1,173.55,1,1,1,111,3
12442.0,3,1,172.06,4,1,1,411,6
12444.0,21,5,5005.46,3,3,4,334,10
12445.0,22,1,133.4,3,1,1,311,5
12446.0,58,1,1002.3100000000001,2,1,3,213,6
12447.0,243,1,476.49,1,1,2,112,4
12448.0,44,1,449.45,3,1,2,312,6
12449.0,22,4,4067.29,3,3,4,334,10
12450.0,156,2,197.88,1,2,1,121,4
12451.0,11,5,8933.52,4,3,4,434,11
12452.0,17,2,430.57,4,2,2,422,8
12453.0,134,1,707.09,2,1,3,213,6
12454.0,56,1,2918.34,2,1,4,214,7
12455.0,73,6,2308.46,2,4,4,244,10
12456.0,44,3,3181.04,3,3,4,334,10
12457.0,66,7,2363.23,2,4,4,244,10
12458.0,71,2,947.4,2,2,3,223,7
12461.0,94,2,826.88,2,2,3,223,7
12462.0,19,2,1189.59,3,2,3,323,8
12463.0,53,4,1344.78,2,3,3,233,8
12464.0,10,8,1212.05,4,4,3,443,11
12465.0,17,2,742.1899999999999,4,2,3,423,9
12468.0,188,2,729.5400000000001,1,2,3,123,6
12471.0,2,30,19788.65,4,4,4,444,12
12472.0,32,7,6572.11,3,4,4,344,11
12473.0,29,5,3928.0499999999997,3,3,4,334,10
12474.0,17,18,7324.09,4,4,4,444,12
12475.0,54,1,723.38,2,1,3,213,6
12476.0,16,11,6816.42,4,4,4,444,12
12477.0,23,6,12829.74,3,4,4,344,11
12478.0,4,1,680.99,4,1,3,413,8
12479.0,11,1,527.2,4,1,2,412,7
12480.0,28,4,2964.83,3,3,4,334,10
12481.0,23,10,5579.82,3,4,4,344,11
12483.0,17,8,2484.98,4,4,4,444,12
12484.0,33,6,4527.32,3,4,4,344,11
12488.0,10,3,1298.66,4,3,3,433,10
12489.0,336,1,334.93,1,1,2,112,4
12490.0,5,10,5417.93,4,4,4,444,12
12491.0,39,1,460.40000000000003,3,1,2,312,6
12492.0,63,2,263.21000000000004,2,2,1,221,5
12493.0,166,2,433.74,1,2,2,122,5
12494.0,16,7,1246.1000000000001,4,4,3,443,11
12497.0,82,1,780.6,2,1,3,213,6
12498.0,21,3,403.70000000000005,3,3,2,332,8
12500.0,23,11,2296.54,3,4,4,344,11
12501.0,337,1,2169.39,1,1,4,114,6
12502.0,96,5,3723.87,2,3,4,234,9
12504.0,18,2,482.04999999999995,4,2,2,422,8
12506.0,233,1,73.5,1,1,1,111,3
12507.0,134,3,686.4100000000001,2,3,3,233,8
12508.0,26,2,397.88,3,2,2,322,7
12509.0,284,1,176.5,1,1,1,111,3
12510.0,143,2,982.5699999999999,2,2,3,223,7
12512.0,66,2,132.18,2,2,1,221,5
12513.0,113,1,612.29,2,1,2,212,5
12514.0,267,1,1017.68,1,1,3,113,5
12515.0,353,1,383.7,1,1,2,112,4
12516.0,78,2,1208.38,2,2,3,223,7
12517.0,28,5,2481.6,3,3,4,334,10
12518.0,1,5,2056.89,4,3,4,434,11
12519.0,64,1,330.84,2,1,2,212,5
12520.0,79,5,2634.26,2,3,4,234,9
12521.0,143,1,599.68,2,1,2,212,5
12522.0,39,2,192.72,3,2,1,321,6
12523.0,19,11,1789.77,3,4,4,344,11
12524.0,9,8,4194.84,4,4,4,444,12
12526.0,1,3,1316.66,4,3,3,433,10
12527.0,82,3,348.71000000000004,2,3,2,232,7
12528.0,9,6,1933.48,4,4,4,444,12
12530.0,60,4,1662.28,2,3,4,234,9
12531.0,15,1,125.22,4,1,1,411,6
12532.0,30,1,349.83000000000004,3,1,2,312,6
12534.0,131,1,1089.18,2,1,3,213,6
12535.0,92,2,716.35,2,2,3,223,7
12536.0,43,3,12601.830000000002,3,3,4,334,10
12538.0,29,1,363.95,3,1,2,312,6
12539.0,22,4,5568.35,3,3,4,334,10
12540.0,20,17,13400.24,3,4,4,344,11
12541.0,30,3,981.18,3,3,3,333,9
12544.0,36,1,372.7,3,1,2,312,6
12545.0,75,2,1000.39,2,2,3,223,7
12546.0,47,2,1161.5,3,2,3,323,8
12547.0,198,2,207.79999999999998,1,2,1,121,4
12548.0,166,1,95.19999999999999,1,1,1,111,3
12550.0,79,1,964.83,2,1,3,213,6
12551.0,358,1,168.0,1,1,1,111,3
12552.0,39,2,437.82,3,2,2,322,7
12553.0,8,10,3692.28,4,4,4,444,12
12556.0,50,2,599.56,3,2,2,322,7
12557.0,16,4,2501.34,4,3,4,434,11
12558.0,8,1,269.96,4,1,1,411,6
12559.0,311,2,561.71,1,2,2,122,5
12560.0,5,3,2134.01,4,3,4,434,11
12561.0,303,1,238.85,1,1,1,111,3
12562.0,8,7,3781.7400000000002,4,4,4,444,12
12564.0,261,1,456.9,1,1,2,112,4
12565.0,289,1,145.92,1,1,1,111,3
12566.0,86,1,351.65,2,1,2,212,5
12567.0,23,10,9401.28,3,4,4,344,11
12569.0,2,32,4124.69,4,4,4,444,12
12571.0,40,2,519.61,3,2,2,322,7
12572.0,9,2,1020.42,4,2,3,423,9
12573.0,227,1,160.54000000000002,1,1,1,111,3
12574.0,316,1,218.45,1,1,1,111,3
12576.0,36,5,1315.83,3,3,3,333,9
12577.0,35,3,626.6,3,3,2,332,8
12578.0,21,2,2794.51,3,2,4,324,9
12579.0,78,1,440.42,2,1,2,212,5
12580.0,247,1,415.7,1,1,2,112,4
12581.0,40,1,197.71,3,1,1,311,5
12582.0,239,2,511.36,1,2,2,122,5
12583.0,3,15,7130.18,4,4,4,444,12
12584.0,4,9,2338.15,4,4,4,444,12
12585.0,234,2,1901.86,1,2,4,124,7
12586.0,17,1,196.94000000000003,4,1,1,411,6
12587.0,8,1,144.0,4,1,1,411,6
12588.0,39,1,214.89999999999998,3,1,1,311,5
12589.0,29,2,646.68,3,2,2,322,7
12590.0,211,2,9474.26,1,2,4,124,7
12591.0,317,1,452.84999999999997,1,1,2,112,4
12592.0,92,2,437.6,2,2,2,222,6
12593.0,109,3,418.09999999999997,2,3,2,232,7
12594.0,38,10,3338.2200000000003,3,4,4,344,11
12596.0,51,2,618.27,3,2,2,322,7
12597.0,19,4,3811.22,3,3,4,334,10
12598.0,10,8,3023.08,4,4,4,444,12
12599.0,29,7,1032.58,3,4,3,343,10
12600.0,29,10,2599.04,3,4,4,344,11
12601.0,190,5,577.0600000000001,1,3,2,132,6
12602.0,59,1,153.12,2,1,1,211,4
12603.0,22,1,739.1999999999999,3,1,3,313,7
12604.0,79,2,254.18,2,2,1,221,5
12607.0,60,1,1579.51,2,1,3,213,6
12609.0,78,3,1126.85,2,3,3,233,8
12610.0,23,5,2099.54,3,3,4,334,10
12611.0,52,1,1049.32,2,1,3,213,6
12612.0,74,1,704.0400000000001,2,1,3,213,6
12613.0,57,5,3344.38,2,3,4,234,9
12614.0,278,1,315.6,1,1,2,112,4
12615.0,2,4,2291.19,4,3,4,434,11
12616.0,95,2,713.3,2,2,3,223,7
12617.0,29,1,352.98,3,1,2,312,6
12618.0,22,1,177.31,3,1,1,311,5
12619.0,16,9,2667.16,4,4,4,444,12
12620.0,15,3,1339.41,4,3,3,433,10
12621.0,2,20,12121.87,4,4,4,444,12
12622.0,232,1,180.1,1,1,1,111,3
12623.0,276,1,305.1,1,1,2,112,4
12624.0,106,2,641.13,2,2,2,222,6
12625.0,212,2,2683.82,1,2,4,124,7
12626.0,23,9,6620.48,3,4,4,344,11
12627.0,11,7,4470.53,4,4,4,444,12
12628.0,4,3,786.46,4,3,3,433,10
12630.0,10,2,1270.88,4,2,3,423,9
12631.0,57,1,640.5,2,1,2,212,5
12633.0,59,4,1951.98,2,3,4,234,9
12635.0,90,2,1689.18,2,2,4,224,8
12637.0,67,8,6002.9,2,4,4,244,10
12638.0,33,1,671.69,3,1,3,313,7
12639.0,239,1,486.1,1,1,2,112,4
12640.0,24,3,1174.58,3,3,3,333,9
12641.0,115,1,185.9,2,1,1,211,4
12642.0,25,3,1013.26,3,3,3,333,9
12643.0,128,6,1827.6000000000001,2,4,4,244,10
12644.0,130,1,477.91,2,1,2,212,5
12645.0,34,4,1775.18,3,3,4,334,10
12646.0,5,2,1346.97,4,2,3,423,9
12647.0,22,12,3722.82,3,4,4,344,11
12648.0,155,1,318.05,1,1,2,112,4
12649.0,107,3,623.51,2,3,2,232,7
12650.0,3,1,314.44,4,1,2,412,7
12651.0,335,1,114.0,1,1,1,111,3
12652.0,331,1,919.98,1,1,3,113,5
12653.0,149,2,2209.85,1,2,4,124,7
12654.0,11,5,601.98,4,3,2,432,9
12656.0,17,5,4051.17,4,3,4,434,11
12657.0,11,4,1433.18,4,3,3,433,10
12658.0,19,1,686.05,3,1,3,313,7
12659.0,30,1,91.68,3,1,1,311,5
12660.0,11,1,245.1,4,1,1,411,6
12662.0,1,11,3849.78,4,4,4,444,12
12664.0,8,9,4881.88,4,4,4,444,12
12665.0,325,1,63.0,1,1,1,111,3
12667.0,58,1,620.13,2,1,2,212,5
12668.0,12,4,3807.15,4,3,4,434,11
12669.0,151,3,2744.0299999999997,1,3,4,134,8
12670.0,10,5,2996.05,4,3,4,434,11
12672.0,330,1,225.89999999999998,1,1,1,111,3
12673.0,5,2,610.52,4,2,2,422,8
12674.0,39,4,1970.6,3,3,4,334,10
12676.0,25,6,1331.39,3,4,3,343,10
12678.0,42,12,12460.06,3,4,4,344,11
12679.0,59,4,1113.02,2,3,3,233,8
12680.0,1,4,880.81,4,3,3,433,10
12681.0,15,22,13572.74,4,4,4,444,12
12682.0,4,31,11678.38,4,4,4,444,12
12683.0,4,15,8476.57,4,4,4,444,12
12684.0,8,7,2231.79,4,4,4,444,12
12685.0,28,6,2863.08,3,4,4,344,11
12686.0,372,1,89.14,1,1,1,111,3
12688.0,114,1,4873.8099999999995,2,1,4,214,7
12689.0,26,2,1247.61,3,2,3,323,8
12690.0,206,1,389.01,1,1,2,112,4
12691.0,28,6,1035.8,3,4,3,343,10
12693.0,127,4,855.91,2,3,3,233,8
12694.0,70,2,869.67,2,2,3,223,7
12695.0,7,4,582.1,4,3,2,432,9
12697.0,29,3,957.59,3,3,3,333,9
12700.0,8,4,4939.99,4,3,4,434,11
12701.0,80,2,797.71,2,2,3,223,7
12702.0,20,1,219.0,3,1,1,311,5
12703.0,71,1,283.55,2,1,1,211,4
12704.0,7,8,2340.84,4,4,4,444,12
12705.0,15,9,6868.29,4,4,4,444,12
12707.0,292,1,603.42,1,1,2,112,4
12708.0,30,10,2712.91,3,4,4,344,11
12709.0,15,15,9706.52,4,4,4,444,12
12710.0,97,3,1149.02,2,3,3,233,8
12712.0,29,13,4396.13,3,4,4,344,11
12713.0,1,1,848.55,4,1,3,413,8
12714.0,9,5,4708.86,4,3,4,434,11
12715.0,106,1,343.36,2,1,2,212,5
12716.0,4,2,1053.49,4,2,3,423,9
12717.0,151,2,1030.98,1,2,3,123,6
12718.0,71,1,238.25,2,1,1,211,4
12719.0,5,2,644.95,4,2,2,422,8
12720.0,3,25,5631.97,4,4,4,444,12
12721.0,32,6,2656.13,3,4,4,344,11
12722.0,85,4,997.63,2,3,3,233,8
12723.0,4,5,725.07,4,3,3,433,10
12724.0,5,4,1031.41,4,3,3,433,10
12725.0,371,1,427.8,1,1,2,112,4
12726.0,28,7,2572.62,3,4,4,344,11
12727.0,11,7,3980.7,4,4,4,444,12
12728.0,71,4,836.33,2,3,3,233,8
12729.0,114,1,453.01,2,1,2,212,5
12731.0,24,12,16483.05,3,4,4,344,11
12732.0,180,1,236.26000000000002,1,1,1,111,3
12733.0,234,1,383.95,1,1,2,112,4
12734.0,353,1,110.39999999999999,1,1,1,111,3
12735.0,315,2,779.5699999999999,1,2,3,123,6
12736.0,333,1,183.6,1,1,1,111,3
12738.0,372,1,155.35,1,1,1,111,3
12739.0,78,2,1013.04,2,2,3,223,7
12740.0,64,1,427.6,2,1,2,212,5
12743.0,134,2,540.13,2,2,2,222,6
12744.0,52,7,21120.89,2,4,4,244,10
12747.0,2,11,4196.01,4,4,4,444,12
12748.0,1,209,30654.39,4,4,4,444,12
12749.0,4,5,4090.88,4,3,4,434,11
12750.0,129,1,275.88,2,1,1,211,4
12752.0,81,1,4366.78,2,1,4,214,7
12753.0,23,6,20285.07,3,4,4,344,11
12754.0,236,3,427.38,1,3,2,132,6
12755.0,281,1,17.549999999999997,1,1,1,111,3
12756.0,87,1,112.07999999999998,2,1,1,211,4
12757.0,16,13,7834.650000000001,4,4,4,444,12
12758.0,117,2,2791.59,2,2,4,224,8
12759.0,52,3,1531.44,2,3,3,233,8
12762.0,8,2,1639.32,4,2,4,424,10
12763.0,138,2,494.08,2,2,2,222,6
12764.0,317,1,1693.88,1,1,4,114,6
12766.0,4,7,6989.63,4,4,4,444,12
12769.0,239,1,1143.6,1,1,3,113,5
12770.0,211,1,1351.45,1,1,3,113,5
12772.0,60,1,892.47,2,1,3,213,6
12775.0,17,5,1386.04,4,4,3,443,11
12778.0,20,6,822.23,3,4,3,343,10
12779.0,38,8,3981.36,3,4,4,344,11
12781.0,64,2,826.74,2,2,3,223,7
12782.0,5,5,2330.92,4,4,4,444,12
12783.0,2,6,2225.91,4,4,4,444,12
12784.0,9,2,532.8199999999999,4,2,2,422,8
12785.0,364,1,311.95,1,1,2,112,4
12787.0,10,3,463.66,4,3,2,432,9
12789.0,65,1,91.85,2,1,1,211,4
12790.0,192,1,324.92,1,1,2,112,4
12791.0,374,1,192.60000000000002,1,1,1,111,3
12792.0,257,1,400.53999999999996,1,1,2,112,4
12793.0,335,2,545.48,1,2,2,122,5
12794.0,53,2,860.41,2,2,3,223,7
12795.0,19,1,430.48,3,1,2,312,6
12797.0,366,1,254.03,1,1,1,111,3
12798.0,171,1,69.12,1,1,1,111,3
12802.0,187,1,427.58,1,1,2,112,4
12808.0,37,3,483.65000000000003,3,3,2,332,8
12809.0,178,1,489.31,1,1,2,112,4
12811.0,261,3,514.85,1,3,2,132,6
12812.0,45,1,229.64000000000001,3,1,1,311,5
12814.0,102,1,125.92,2,1,1,211,4
12815.0,148,2,1063.46,1,2,3,123,6
12816.0,96,2,572.2,2,2,2,222,6
12817.0,281,1,166.04,1,1,1,111,3
12818.0,262,1,747.2,1,1,3,113,5
12820.0,3,4,942.34,4,3,3,433,10
12821.0,214,1,92.72,1,1,1,111,3
12822.0,71,2,948.88,2,2,3,223,7
12823.0,75,5,1759.5,2,4,4,244,10
12824.0,60,1,397.12,2,1,2,212,5
12826.0,3,7,1474.72,4,4,3,443,11
12827.0,6,3,430.15000000000003,4,3,2,432,9
12828.0,3,6,1018.71,4,4,3,443,11
12829.0,337,2,245.0,1,2,1,121,4
12830.0,91,4,1961.1200000000001,2,3,4,234,9
12831.0,262,1,215.05,1,1,1,111,3
12832.0,32,2,383.03,3,2,2,322,7
12833.0,145,1,417.38,1,1,2,112,4
12834.0,283,1,312.38,1,1,2,112,4
12836.0,59,4,2610.36,2,3,4,234,9
12837.0,173,1,134.1,1,1,1,111,3
12838.0,34,2,671.95,3,2,3,323,8
12839.0,3,14,5591.42,4,4,4,444,12
12840.0,144,4,2726.77,1,3,4,134,8
12841.0,5,25,3991.58,4,4,4,444,12
12842.0,70,2,1118.99,2,2,3,223,7
12843.0,66,8,1702.26,2,4,4,244,10
12844.0,29,2,325.96000000000004,3,2,2,322,7
12845.0,267,3,145.29000000000002,1,3,1,131,5
12847.0,22,1,843.64,3,1,3,313,7
12849.0,31,2,1010.29,3,2,3,323,8
12851.0,97,1,131.81,2,1,1,211,4
12852.0,295,1,311.55,1,1,2,112,4
12853.0,135,6,1957.1000000000001,2,4,4,244,10
12854.0,79,3,1316.25,2,3,3,233,8
12855.0,373,1,38.1,1,1,1,111,3
12856.0,8,6,2170.78,4,4,4,444,12
12857.0,211,2,1106.4,1,2,3,123,6
12863.0,52,1,521.2,2,1,2,212,5
12864.0,138,1,27.599999999999998,2,1,1,211,4
12865.0,26,2,1568.23,3,2,3,323,8
12866.0,283,1,559.12,1,1,2,112,4
12867.0,26,7,4009.34,3,4,4,344,11
12868.0,186,6,1607.0600000000002,1,4,4,144,9
12871.0,84,2,380.64,2,2,2,222,6
12872.0,327,2,599.97,1,2,2,122,5
12873.0,282,1,374.0,1,1,2,112,4
12876.0,58,2,2218.02,2,2,4,224,8
12877.0,4,12,1535.77,4,4,3,443,11
12878.0,236,2,854.99,1,2,3,123,6
12879.0,45,3,573.22,3,3,2,332,8
12881.0,276,1,298.0,1,1,1,111,3
12882.0,9,2,1463.04,4,2,3,423,9
12883.0,25,4,703.47,3,3,3,333,9
12884.0,88,1,309.05,2,1,2,212,5
12885.0,63,3,1175.22,2,3,3,233,8
12886.0,68,2,1378.4,2,2,3,223,7
12888.0,214,2,354.12,1,2,2,122,5
12890.0,24,1,376.71999999999997,3,1,2,312,6
12891.0,293,1,42.0,1,1,1,111,3
12893.0,31,1,176.55,3,1,1,311,5
12895.0,42,2,372.8,3,2,2,322,7
12897.0,205,2,216.5,1,2,1,121,4
12901.0,10,17,3291.72,4,4,4,444,12
12902.0,265,1,138.68,1,1,1,111,3
12904.0,18,2,496.06,4,2,2,422,8
12906.0,12,5,2784.13,4,4,4,444,12
12909.0,40,5,2178.67,3,4,4,344,11
12910.0,23,8,3075.04,3,4,4,344,11
12912.0,3,5,1662.3,4,4,4,444,12
12913.0,5,5,2483.63,4,4,4,444,12
12915.0,149,2,363.65,1,2,2,122,5
12916.0,139,4,2944.95,2,3,4,234,9
12917.0,128,1,594.0,2,1,2,212,5
12919.0,8,6,1335.19,4,4,3,443,11
12920.0,17,1,162.78,4,1,1,411,6
12921.0,9,37,16587.09,4,4,4,444,12
12922.0,161,1,405.38,1,1,2,112,4
12923.0,64,1,172.82,2,1,1,211,4
12924.0,88,4,781.0600000000001,2,3,3,233,8
12925.0,5,2,694.05,4,2,3,423,9
12928.0,35,5,2028.14,3,4,4,344,11
12929.0,312,1,117.85,1,1,1,111,3
12930.0,78,2,415.8,2,2,2,222,6
12931.0,30,8,2446.46,3,4,4,344,11
12933.0,24,3,607.53,3,3,2,332,8
12935.0,2,7,2160.7,4,4,4,444,12
12936.0,17,4,1063.9,4,3,3,433,10
12937.0,15,4,1504.27,4,3,3,433,10
12938.0,26,1,114.14,3,1,1,311,5
12939.0,64,8,5921.52,2,4,4,244,10
12940.0,55,2,899.69,2,2,3,223,7
12942.0,131,3,675.6,2,3,3,233,8
12944.0,36,2,604.51,3,2,2,322,7
12945.0,288,1,462.95,1,1,2,112,4
12947.0,144,6,1603.99,1,4,4,144,9
12948.0,16,7,2064.95,4,4,4,444,12
12949.0,31,8,4167.22,3,4,4,344,11
12950.0,2,3,1699.0,4,3,4,434,11
12951.0,9,6,1064.07,4,4,3,443,11
12952.0,6,4,1387.79,4,3,3,433,10
12953.0,10,1,329.85,4,1,2,412,7
12955.0,1,11,4757.16,4,4,4,444,12
12956.0,306,1,108.07,1,1,1,111,3
12957.0,10,8,4017.54,4,4,4,444,12
12962.0,7,2,266.39,4,2,1,421,7
12963.0,8,8,1856.63,4,4,4,444,12
12965.0,89,1,769.8100000000001,2,1,3,213,6
12966.0,10,1,160.18,4,1,1,411,6
12967.0,358,2,1660.9,1,2,4,124,7
12968.0,112,1,135.95,2,1,1,211,4
12970.0,7,4,405.47,4,3,2,432,9
12971.0,4,86,10347.59,4,4,4,444,12
12974.0,198,1,144.8,1,1,1,111,3
12976.0,212,1,738.6,1,1,3,113,5
12977.0,156,1,39.239999999999995,1,1,1,111,3
12980.0,158,9,6398.58,1,4,4,144,9
12981.0,30,2,372.21999999999997,3,2,2,322,7
12982.0,243,1,390.54,1,1,2,112,4
12984.0,19,1,97.5,3,1,1,311,5
12985.0,1,2,1182.38,4,2,3,423,9
12987.0,74,2,558.7,2,2,2,222,6
12988.0,292,1,505.82,1,1,2,112,4
12989.0,3,14,4731.71,4,4,4,444,12
12990.0,31,3,409.5,3,3,2,332,8
12991.0,23,2,503.76,3,2,2,322,7
12993.0,23,4,414.76,3,3,2,332,8
12994.0,4,3,974.4200000000001,4,3,3,433,10
12995.0,85,1,211.32,2,1,1,211,4
12997.0,22,4,1226.89,3,3,3,333,9
12999.0,196,3,455.88,1,3,2,132,6
13000.0,107,3,534.85,2,3,2,232,7
13001.0,4,13,8693.85,4,4,4,444,12
13002.0,318,1,120.94999999999999,1,1,1,111,3
13003.0,106,3,149.05,2,3,1,231,6
13004.0,12,18,5655.91,4,4,4,444,12
13005.0,174,2,513.7,1,2,2,122,5
13006.0,56,1,81.57,2,1,1,211,4
13008.0,323,1,229.46999999999997,1,1,1,111,3
13011.0,372,1,50.550000000000004,1,1,1,111,3
13012.0,9,8,1646.8400000000001,4,4,4,444,12
13013.0,1,13,4810.9400000000005,4,4,4,444,12
13014.0,11,10,3466.2799999999997,4,4,4,444,12
13015.0,53,5,3339.64,2,4,4,244,10
13016.0,73,3,789.89,2,3,3,233,8
13017.0,7,1,204.0,4,1,1,411,6
13018.0,16,28,7277.7,4,4,4,444,12
13021.0,4,9,2616.38,4,4,4,444,12
13023.0,64,2,689.9,2,2,3,223,7
13026.0,1,4,716.4,4,3,3,433,10
13028.0,23,2,661.3199999999999,3,2,3,323,8
13029.0,31,3,1247.5,3,3,3,333,9
13030.0,11,2,752.4399999999999,4,2,3,423,9
13032.0,52,2,1010.18,2,2,3,223,7
13033.0,357,1,190.55,1,1,1,111,3
13034.0,55,2,642.77,2,2,2,222,6
13035.0,74,2,921.88,2,2,3,223,7
13037.0,138,3,881.07,2,3,3,233,8
13038.0,80,3,908.46,2,3,3,233,8
13040.0,9,2,676.99,4,2,3,423,9
13043.0,273,1,516.42,1,1,2,112,4
13044.0,291,1,560.47,1,1,2,112,4
13045.0,99,1,305.28000000000003,2,1,2,212,5
13046.0,31,2,629.31,3,2,2,322,7
13047.0,32,10,3237.54,3,4,4,344,11
13048.0,14,4,1819.41,4,3,4,434,11
13049.0,64,2,656.6800000000001,2,2,3,223,7
13050.0,15,17,5836.86,4,4,4,444,12
13052.0,212,1,348.15000000000003,1,1,2,112,4
13055.0,78,3,1214.41,2,3,3,233,8
13058.0,25,3,271.40000000000003,3,3,1,331,7
13059.0,250,1,183.4,1,1,1,111,3
13060.0,254,1,307.53,1,1,2,112,4
13061.0,72,1,248.61,2,1,1,211,4
13062.0,191,1,286.5,1,1,1,111,3
13064.0,13,4,1105.59,4,3,3,433,10
13065.0,373,1,205.86,1,1,1,111,3
13066.0,24,2,470.8,3,2,2,322,7
13067.0,82,1,115.46000000000001,2,1,1,211,4
13068.0,10,2,344.0,4,2,2,422,8
13069.0,1,24,4015.28,4,4,4,444,12
13070.0,192,1,228.8,1,1,1,111,3
13072.0,267,1,177.15,1,1,1,111,3
13075.0,130,1,919.61,2,1,3,213,6
13077.0,1,4,728.02,4,3,3,433,10
13078.0,3,26,11341.94,4,4,4,444,12
13079.0,4,5,220.10000000000002,4,4,1,441,9
13080.0,179,1,58.08,1,1,1,111,3
13081.0,12,11,28246.66,4,4,4,444,12
13082.0,126,9,1980.91,2,4,4,244,10
13083.0,4,2,303.75,4,2,2,422,8
13085.0,158,2,416.08000000000004,1,2,2,122,5
13089.0,3,96,55890.16,4,4,4,444,12
13090.0,9,14,8910.82,4,4,4,444,12
13091.0,28,1,345.82,3,1,2,312,6
13092.0,71,5,477.83,2,4,2,242,8
13093.0,276,8,7832.47,1,4,4,144,9
13094.0,21,12,1622.0400000000002,3,4,4,344,11
13095.0,71,1,74.39999999999999,2,1,1,211,4
13097.0,33,10,6003.22,3,4,4,344,11
13098.0,1,28,26489.4,4,4,4,444,12
13101.0,234,1,101.19,1,1,1,111,3
13102.0,1,24,6166.33,4,4,4,444,12
13103.0,40,1,243.94,3,1,1,311,5
13104.0,3,6,1098.48,4,4,3,443,11
13106.0,133,1,76.5,2,1,1,211,4
13107.0,44,4,1531.6200000000001,3,3,3,333,9
13108.0,373,1,350.06,1,1,2,112,4
13109.0,60,2,786.54,2,2,3,223,7
13110.0,31,7,1488.67,3,4,3,343,10
13113.0,1,24,10545.960000000001,4,4,4,444,12
13115.0,12,4,2294.78,4,3,4,434,11
13116.0,138,1,501.14,2,1,2,212,5
